0;0;wen gao;xin liu,hongxun yao;an adaptive dandelion model for reconstructing spherical terrain like visual hull surfaces;7488;4482B3A4;2005
1;0;wen gao;yanfeng zheng;randomized parallel scheduling algorithm for input queued crossbar switches;012E6F4E;42C62517;2005
2;0;wen gao;dawei liang,yang liu,qingming huang;self calibration based 3d information extraction and application in broadcast soccer video;0C37CBAD;4603A79F;2006
3;0;wen gao;feng zhao,qingming huang;image matching by multiscale oriented corner correlation;012E6F4E;4603A79F;2006
4;0;wen gao;xin liu,jingcai fan,yazhou liu,hongxun yao;the bunch active shape model;0C37CBAD;45D6911A;2005
5;0;wen gao;feng jiang,guilin yao,hongxun yao,chenxi zhang;static gesture quantization and dct based sign language generation;0C37CBAD;45D6911A;2005
6;0;wen gao;feng jiang,hongxun yao,guilin yao,chenxi zhang;static gesture quantization and dct based sign language generation;10262;45D6911A;2005
7;0;wen gao;chong huang,tiejun huang,yonghong tian;semantic scoring based on small world phenomenon for feature selection in text mining;012E6F4E;469407EC;2006
8;0;wen gao;tiejun huang,yonghong tian;robust collective classification with contextual dependency network models;012E6F4E;469407EC;2006
9;0;wen gao;changshui yang,zhaoqi wang,yiqiang chena,gaolin fang;cslds chinese sign language dialog system;6834;44CCC1CE;2003
10;0;wen gao;changshui yang,zhaoqi wang,yiqiang chen,gaolin fang;cslds chinese sign language dialog system;7252;44CCC1CE;2003
11;0;wen gao;xilin chen,shengye yan,shiguang shan,jie chen,ruiping wang;how to train a classifier based on the huge face database ;0C37CBAD;44CCC1CE;2005
12;0;wen gao;xilin chen,shengye yan,shiguang shan,jie chen,ruiping wang;how to train a classifier based on the huge face database ;5768;0655F58A;2005
13;0;wen gao;debin zhao,shiguang shan,bo cao;illumination normalization for robust face recognition against varying lighting conditions;2328;44CCC1CE;2003
14;0;wen gao;xilin chen,peng yang,shiguang shan;adaboost gabor fisher classifier for face recognition;0C37CBAD;44CCC1CE;2005
15;0;wen gao;zhaoqi wang,dalong jiang,zhiguo li;animating 3d facial models with mpeg 4 facedeftables;012E6F4E;450B99F2;2002
16;0;wen gao;jiyong mat;text independent speaker identification based on spectral weighting functions;0C37CBAD;1432672;1997
